Type	ID	Earthquake_occurrenceTime	Epicenter_Lon	Epicenter_Lat	Epicenter_Mag	Epicenter_Depth	    EEW_Lon 	EEW_Lat	EEW_Mag	EEW_Dep EEW_processing_time 
xY	155	201602052001052 	120.3537	23.0107	4.55	23.24	120.33	23.04	5.3	10	19
xY	156	201602090047000 	121.692	23.8883	5.12	5.69	121.66	23.91	4.9	10	20
xY	157	201602160245059 	120.8932	23.0003	4.76	5.8	120.9	22.98	4.5	10	15
xY	158	201602160404054 	120.8685	23.0107	4.97	5.03	120.88	22.99	4.8	10	17
xY	159	201602180109039 	120.8693	23.0163	5.27	5.44	120.91	23.02	5.2	10	24
xY	160	201602180118031 	120.8762	23.0265	5.13	4.26	120.9	23.02	4.9	10	16
xY	161	201602230826027 	122.3603	24.0083	4.75	24.86	122.1	24	4.5	20	29
xY	162	201602270259053 	121.0278	22.3322	4.77	12.84	121.01	22.38	4.5	10	16
xY	163	201603051811006 	121.7715	24.7167	4.67	70.48	121.69	24.8	4.6	70	27
xN	164	201603061508058 	123.2257	23.1655	4.95	68.25					
xY	165	201603280807059 	121.1315	22.8	4.85	26.86	121.13	22.76	4.6	20	17
xN	166	201604010914045 	122.7458	22.9642	4.5	101.94					
oY	167	201604070013028 	122.6962	22.6738	4.74	65.47	122.08	23	4.5	20	40
xY	168	201604101321046 	122.7797	22.6825	4.89	65.9	121.89	23.1	4.6	10	65
oY	169	201604110545009 	122.1247	24.5512	5.66	59.81	121.84	24.74	5	30	21
xY	170	201604161055046 	121.8015	22.4432	5.22	11.83	121.93	22.43	5.2	20	29
oY	171	201604191616037 	122.5368	23.962	4.57	26.74	122.18	24.14	4.5	10	33
xN	172	201604251813011 	121.1812	20.9707	5.3	58.21					
xY	173	201604271517014 	121.784	24.2372	5.67	11.94	121.74	24.24	5.6	10	16
xN	174	201604271517037 	121.7927	24.3115	4.63	11.12					
xY	175	201604271527038 	121.749	24.2527	5.13	12.99	121.74	24.23	4.7	10	16
xY	176	201604271819006 	121.2333	23.2832	5.52	15.21	121.22	23.29	5.7	20	15
xY	177	201604280114046 	121.7982	24.2843	4.5	12.58	121.81	24.27	4.8	10	17
xY	178	201604302246057 	121.7393	24.2197	4.78	12.31	121.72	24.23	4.6	10	16
xY	179	201605021429000 	121.7213	24.2095	4.88	11.83	121.74	24.2	4.8	10	17
xY	180	201605060753023 	121.4925	23.4727	4.87	29.72	121.4	23.51	4.6	20	19
xY	181	201605071451009 	121.756	24.2207	4.78	11.82	121.8	24.21	5	30	15
xY	182	201605080246033 	121.0232	23.9928	4.93	19.13	121.06	24	5.1	20	14
xY	183	201605120317015 	121.9803	24.6918	6.1	8.86	121.97	24.67	6	10	14
xY	184	201605120320051 	121.9762	24.6927	4.63	11.38	122.02	24.68	5	10	17
xN	185	201605120321022 	121.9575	24.6913	4.52	9.69					
xY	186	201605120429055 	122.0173	24.6908	5.73	12.03	121.95	24.71	5.3	10	18
xY	187	201605130824012 	121.9845	24.6838	5.24	9.77	121.92	24.68	5.2	10	16
xY	188	201605140312002 	121.7625	24.1748	4.69	12.4	121.7	24.18	4.5	10	19
xY	189	201605140332048 	121.7703	24.1732	5.01	11.6	121.76	24.18	4.7	10	17
oY	190	201605180022045 	121.5735	23.2162	5.24	45.75	121.43	23.33	4.9	40	21
xY	191	201605212051040 	120.61	22.9025	5.26	18.13	120.64	22.91	4.9	10	14
xY	192	201605220206019 	120.597	22.898	4.8	16.92	120.62	22.87	4.6	20	15
xN	193	201605251354035 	120.4802	22.008	4.52	52.04					
xY	194	201605291748036 	121.0297	23.081	4.5	4.2	121.07	23.07	4.5	20	26
xY	195	201605300252047 	121.7178	24.1672	4.67	13.66	121.77	24.14	4.5	10	19
oY	196	201605301750051 	122.534	24.2	4.92	50.84	122.32	24.17	4.8	60	27
xY	197	201605310523046 	122.6827	25.492	6.91	256.89	121.8	24.98	5.9	40	45
xN	198	201606172255042 	122.753	25.3953	5.33	235.66					
xY	199	201606200039047 	121.5335	23.1632	5.07	39.39	121.55	23.22	5	30	22
oY	200	201606200753030 	121.8923	24.8842	4.73	106.91	121.93	24.92	5.1	100	28
oY	201	201606232105030 	123.4198	23.532	6.07	47.02	123.21	23.4	5.9	40	42
oY	202	201607010823042 	122.3078	24.0512	4.75	26.83	122.01	24.04	4.6	30	28
xY	203	201607140332024 	121.36	23.1625	4.42	17.87	121.44	23.08	4.5	20	21
xY	204	201607160235025 	121.7493	24.3628	4.23	19.61	121.79	24.32	4.5	20	29
xY	205	201607201255033 	120.9857	24.1437	4.53	37.98	120.99	24.09	4.7	40	15
xY	206	201607270402035 	121.7548	24.2658	4.81	7.68	121.74	24.25	4.7	10	16
xY	207	201608121335041 	122.1378	24.8297	4.63	95.83	122.46	24.89	4.8	80	40
xY	208	201608311628054 	121.9667	24.4563	4.93	17.98	121.87	24.48	5	10	17
xY	209	201609091654010 	122.0968	22.1268	4.87	40.79	122.07	22.24	5	20	47
xY	210	201609240936049 	121.5147	24.1057	4.23	19.16	121.61	24.07	4.6	30	24
oY	211	201609280938012 	122.7528	24.4453	5.46	96.87	122.8	24.47	5.4	50	38
oY	212	201610061552000 	121.3438	22.627	6.15	23.7	121.32	22.61	5.9	20	21
xY	213	201610250445052 	121.3502	22.6543	5.3	23.69	121.36	22.64	5.2	30	22
xY	214	201611071156026 	121.3433	23.0295	5.07	20.45	121.29	23.04	4.9	10	19
oY	215	201611112225031 	122.43	24.0662	5.33	31.17	122.38	24.05	5.4	20	31
xY	216	201611242155054 	122.4128	24.0783	5.53	27.47	122.41	24.03	5.6	10	31
xY	217	201611282359039 	121.2738	22.2068	4.62	32.25	121.26	22.26	4.5	30	20
xY	218	201611301204034 	121.2683	22.8317	5.07	11.84	121.27	22.83	4.9	10	17
oY	219	201612090409048 	122.047	24.712	5.24	63.1	121.82	24.75	4.8	50	20
xY	220	201612151411038 	121.2558	22.8462	4.29	11.05	121.29	22.87	4.5	10	28
xY	221	201612151414029 	121.2688	22.8465	5.17	11.39	121.26	22.85	5.2	10	17
xY	222	201612221541007 	122.8825	24.8977	3.92	145.4	123.3	24.78	4.6	50	46
oY	223	201612300030051 	122.0793	24.8082	5.19	75.17	121.87	24.94	4.9	70	24
oY	224	201701040707021 	121.8145	24.0525	4.76	52.93	121.68	24.06	4.5	30	20
xY	225	201701111731003 	120.6823	23.1117	4.51	9.01	120.73	23.1	4.7	10	14
xN	226	201701190342018 	119.986	21.3028	4.55	78.03					
xY	227	201701200816027 	122.2022	24.3502	4.51	42.16	122.18	24.3	4.5	40	28
xY	228	201701250733006 	121.833	24.2383	4.95	57.48	121.9	24.17	5.2	70	23
xY	229	201701261612039 	121.6892	23.9263	4.42	52.84	121.82	23.86	4.6	40	25
xY	230	201702101712052 	120.1432	22.8657	5.71	16.15	120.15	22.9	6.1	30	27
xY	231	201702120430058 	120.1275	22.8477	4.29	19.25	120.11	22.86	4.5	10	22
xY	232	201702140654035 	121.625	22.5667	4.33	12.02	121.65	22.58	4.5	20	28
xY	233	201702181227039 	121.3383	22.5467	4.59	20.5	121.37	22.52	4.7	20	29
xN	234	201702210443017 	122.2537	25.4773	4.69	270.14					
oY	235	201702271618030 	122.94	24.1962	5.23	47.87	121.31	24.12	4.5	20	40
xY	236	201703070139046 	122.0617	24.2825	4.35	35.4	122.08	24.3	4.5	10	25
oY	237	201703072210051 	122.1013	24.3087	5.28	59.92	121.85	24.39	5.1	30	24
oY	238	201703192348009 	122.108	24.7962	4.55	13.65	122.25	24.71	4.6	10	20
